Stage 3 Iter  3400 Time:7.5e+02 # Loss:4.18e-06, Loss_r:2.15e-06, Loss_b:1.20e-06, Loss_0:8.36e-07 # Valid:4.54e-06, RL2:1.98e-03
Stage 3 Iter  3500 Time:7.7e+02 # Loss:1.07e-05, Loss_r:7.08e-06, Loss_b:1.64e-06, Loss_0:1.94e-06 # Valid:1.03e-05, RL2:2.12e-03
Stage 3 Iter  3600 Time:7.9e+02 # Loss:5.79e-06, Loss_r:5.79e-06, Loss_b:1.64e-06, Loss_0:1.94e-06 # Valid:1.08e-05, RL2:1.92e-03
Stage 3 Iter  3700 Time:8.1e+02 # Loss:3.69e-06, Loss_r:1.96e-06, Loss_b:1.05e-06, Loss_0:6.76e-07 # Valid:4.52e-06, RL2:1.58e-03
Stage 3 Iter  3800 Time:8.4e+02 # Loss:7.80e-06, Loss_r:5.29e-06, Loss_b:1.78e-06, Loss_0:7.30e-07 # Valid:7.20e-06, RL2:1.74e-03
Stage 3 Iter  3900 Time:8.6e+02 # Loss:3.30e-06, Loss_r:1.67e-06, Loss_b:9.60e-07, Loss_0:6.67e-07 # Valid:4.40e-06, RL2:1.63e-03
Stage 3 Iter  4000 Time:8.8e+02 # Loss:5.36e-06, Loss_r:2.43e-06, Loss_b:1.42e-06, Loss_0:1.51e-06 # Valid:6.70e-06, RL2:2.16e-03
Stage 3 Iter  4100 Time:9.0e+02 # Loss:3.41e-06, Loss_r:1.84e-06, Loss_b:9.05e-07, Loss_0:6.64e-07 # Valid:4.41e-06, RL2:1.47e-03
Stage 3 Iter  4200 Time:9.2e+02 # Loss:2.14e-06, Loss_r:2.14e-06, Loss_b:9.05e-07, Loss_0:6.64e-07 # Valid:4.28e-06, RL2:1.60e-03
Stage 3 Iter  4300 Time:9.5e+02 # Loss:3.34e-06, Loss_r:1.95e-06, Loss_b:8.13e-07, Loss_0:5.86e-07 # Valid:4.29e-06, RL2:1.50e-03
Stage 3 Iter  4400 Time:9.7e+02 # Loss:4.73e-06, Loss_r:2.79e-06, Loss_b:1.04e-06, Loss_0:9.00e-07 # Valid:6.84e-06, RL2:1.73e-03
Stage 3 Iter  4500 Time:9.9e+02 # Loss:2.80e-06, Loss_r:1.51e-06, Loss_b:8.31e-07, Loss_0:4.58e-07 # Valid:3.62e-06, RL2:1.62e-03
Stage 3 Iter  4600 Time:1.0e+03 # Loss:1.42e-03, Loss_r:1.57e-04, Loss_b:6.43e-04, Loss_0:6.22e-04 # Valid:2.06e-03, RL2:4.99e-02
Stage 3 Iter  4700 Time:1.0e+03 # Loss:3.85e+08, Loss_r:3.85e+08, Loss_b:6.88e-01, Loss_0:9.21e-01 # Valid:6.38e+07, RL2:1.27e+00
Stage 3 Iter  4800 Time:1.1e+03 # Loss:7.92e+06, Loss_r:7.92e+06, Loss_b:6.88e-01, Loss_0:9.21e-01 # Valid:1.95e+07, RL2:1.32e+00
Stage 3 Iter  4900 Time:1.1e+03 # Loss:1.56e+08, Loss_r:1.56e+08, Loss_b:3.45e+00, Loss_0:3.60e+00 # Valid:2.03e+09, RL2:2.98e+00
Stage 3 Iter  5000 Time:1.1e+03 # Loss:2.65e+07, Loss_r:2.65e+07, Loss_b:3.24e+00, Loss_0:3.26e+00 # Valid:3.45e+08, RL2:2.78e+00
Stage 3 Iter  5100 Time:1.1e+03 # Loss:2.21e+07, Loss_r:2.21e+07, Loss_b:3.16e+00, Loss_0:3.30e+00 # Valid:3.87e+09, RL2:2.65e+00
Stage 3 Iter  5200 Time:1.1e+03 # Loss:4.16e+07, Loss_r:4.16e+07, Loss_b:3.46e+00, Loss_0:3.29e+00 # Valid:1.17e+09, RL2:2.77e+00
Stage 3 Iter  5300 Time:1.2e+03 # Loss:2.40e+07, Loss_r:2.40e+07, Loss_b:3.02e+00, Loss_0:3.24e+00 # Valid:3.09e+10, RL2:2.74e+00
