Iter  4200 Time:1.5e+03 # Loss:1.83e+03, Loss_r:1.55e+03, Loss_b:2.88e+00 # Valid:1.99e+03, RL2:6.98e+00
Iter  4300 Time:1.6e+03 # Loss:1.63e+03, Loss_r:1.35e+03, Loss_b:2.76e+00 # Valid:2.09e+03, RL2:7.74e+00
Iter  4400 Time:1.6e+03 # Loss:1.59e+03, Loss_r:1.30e+03, Loss_b:2.88e+00 # Valid:2.41e+03, RL2:7.17e+00
Iter  4500 Time:1.6e+03 # Loss:1.99e+03, Loss_r:1.69e+03, Loss_b:3.06e+00 # Valid:3.11e+03, RL2:8.01e+00
Iter  4600 Time:1.7e+03 # Loss:1.72e+03, Loss_r:1.45e+03, Loss_b:2.69e+00 # Valid:2.08e+03, RL2:7.05e+00
Iter  4700 Time:1.7e+03 # Loss:1.72e+03, Loss_r:1.41e+03, Loss_b:3.02e+00 # Valid:2.97e+03, RL2:8.28e+00
Iter  4800 Time:1.7e+03 # Loss:1.68e+03, Loss_r:1.38e+03, Loss_b:3.00e+00 # Valid:1.81e+03, RL2:8.04e+00
Iter  4900 Time:1.8e+03 # Loss:1.59e+03, Loss_r:1.30e+03, Loss_b:2.83e+00 # Valid:1.98e+03, RL2:8.47e+00
Iter  5000 Time:1.8e+03 # Loss:1.77e+03, Loss_r:1.46e+03, Loss_b:3.07e+00 # Valid:2.25e+03, RL2:7.91e+00
Iter  5100 Time:1.8e+03 # Loss:1.53e+03, Loss_r:1.23e+03, Loss_b:3.01e+00 # Valid:4.88e+03, RL2:8.40e+00
Iter  5200 Time:1.9e+03 # Loss:2.04e+03, Loss_r:1.73e+03, Loss_b:3.06e+00 # Valid:3.37e+03, RL2:8.51e+00
Iter  5300 Time:1.9e+03 # Loss:1.57e+03, Loss_r:1.28e+03, Loss_b:2.86e+00 # Valid:2.41e+03, RL2:8.85e+00
Iter  5400 Time:2.0e+03 # Loss:1.85e+03, Loss_r:1.56e+03, Loss_b:2.85e+00 # Valid:1.88e+03, RL2:6.87e+00
Iter  5500 Time:2.0e+03 # Loss:1.77e+03, Loss_r:1.47e+03, Loss_b:2.92e+00 # Valid:3.92e+03, RL2:7.21e+00
Iter  5600 Time:2.0e+03 # Loss:1.56e+03, Loss_r:1.26e+03, Loss_b:2.97e+00 # Valid:2.03e+03, RL2:8.52e+00
Iter  5700 Time:2.1e+03 # Loss:1.69e+03, Loss_r:1.38e+03, Loss_b:3.06e+00 # Valid:1.85e+03, RL2:7.99e+00
Iter  5800 Time:2.1e+03 # Loss:1.69e+03, Loss_r:1.39e+03, Loss_b:3.04e+00 # Valid:2.93e+03, RL2:7.90e+00
Iter  5900 Time:2.1e+03 # Loss:1.58e+03, Loss_r:1.28e+03, Loss_b:2.93e+00 # Valid:9.38e+03, RL2:8.41e+00
Iter  6000 Time:2.2e+03 # Loss:1.62e+03, Loss_r:1.31e+03, Loss_b:3.16e+00 # Valid:9.07e+03, RL2:8.95e+00
Iter  6100 Time:2.2e+03 # Loss:1.77e+03, Loss_r:1.51e+03, Loss_b:2.60e+00 # Valid:2.03e+03, RL2:6.60e+00
Iter  6200 Time:2.2e+03 # Loss:1.73e+03, Loss_r:1.44e+03, Loss_b:2.95e+00 # Valid:1.84e+03, RL2:7.53e+00
Iter  6300 Time:2.3e+03 # Loss:1.58e+03, Loss_r:1.28e+03, Loss_b:3.02e+00 # Valid:2.19e+03, RL2:7.99e+00
Iter  6400 Time:2.3e+03 # Loss:1.56e+03, Loss_r:1.25e+03, Loss_b:3.09e+00 # Valid:2.14e+03, RL2:8.86e+00
Iter  6500 Time:2.3e+03 # Loss:1.60e+03, Loss_r:1.32e+03, Loss_b:2.77e+00 # Valid:1.74e+03, RL2:8.81e+00
Iter  6600 Time:2.4e+03 # Loss:1.55e+03, Loss_r:1.27e+03, Loss_b:2.84e+00 # Valid:3.63e+03, RL2:9.11e+00
Iter  6700 Time:2.4e+03 # Loss:1.63e+03, Loss_r:1.33e+03, Loss_b:3.00e+00 # Valid:1.82e+03, RL2:8.80e+00
Iter  6800 Time:2.5e+03 # Loss:1.60e+03, Loss_r:1.26e+03, Loss_b:3.36e+00 # Valid:1.89e+03, RL2:8.73e+00
Iter  6900 Time:2.5e+03 # Loss:1.75e+03, Loss_r:1.44e+03, Loss_b:3.05e+00 # Valid:1.87e+03, RL2:7.62e+00
Iter  7000 Time:2.5e+03 # Loss:1.63e+03, Loss_r:1.30e+03, Loss_b:3.24e+00 # Valid:1.83e+03, RL2:8.44e+00
Iter  7100 Time:2.6e+03 # Loss:1.60e+03, Loss_r:1.31e+03, Loss_b:2.93e+00 # Valid:2.79e+03, RL2:8.40e+00
