Stage 2 Iter   290 Time:7.0e+00 # Loss:1.37e-05, Loss_r:1.37e-05, Loss_b:4.40e-05 # Valid:4.35e-05, RL2:1.20e-02
Stage 2 Iter   300 Time:7.1e+00 # Loss:1.68e-05, Loss_r:1.68e-05, Loss_b:4.40e-05 # Valid:4.66e-05, RL2:1.21e-02
Stage 2 Iter   310 Time:7.1e+00 # Loss:1.59e-05, Loss_r:1.59e-05, Loss_b:4.40e-05 # Valid:4.59e-05, RL2:1.15e-02
Stage 2 Iter   320 Time:7.2e+00 # Loss:1.38e-05, Loss_r:1.38e-05, Loss_b:4.40e-05 # Valid:4.95e-05, RL2:1.11e-02
Stage 2 Iter   330 Time:7.2e+00 # Loss:1.60e-05, Loss_r:1.60e-05, Loss_b:4.40e-05 # Valid:4.43e-05, RL2:1.19e-02
Stage 2 Iter   340 Time:7.3e+00 # Loss:1.74e-05, Loss_r:1.74e-05, Loss_b:4.40e-05 # Valid:5.11e-05, RL2:1.12e-02
Stage 2 Iter   350 Time:7.3e+00 # Loss:1.39e-05, Loss_r:1.39e-05, Loss_b:4.40e-05 # Valid:4.81e-05, RL2:1.16e-02
Stage 2 Iter   360 Time:7.4e+00 # Loss:1.38e-05, Loss_r:1.38e-05, Loss_b:4.40e-05 # Valid:4.72e-05, RL2:1.19e-02
Stage 2 Iter   370 Time:7.4e+00 # Loss:1.54e-05, Loss_r:1.54e-05, Loss_b:4.40e-05 # Valid:4.81e-05, RL2:1.17e-02
Stage 2 Iter   380 Time:7.5e+00 # Loss:1.53e-05, Loss_r:1.53e-05, Loss_b:4.40e-05 # Valid:4.71e-05, RL2:1.13e-02
Stage 2 Iter   390 Time:7.5e+00 # Loss:1.58e-05, Loss_r:1.58e-05, Loss_b:4.40e-05 # Valid:4.47e-05, RL2:1.20e-02
Stage 2 Iter   400 Time:7.6e+00 # Loss:1.62e-05, Loss_r:1.62e-05, Loss_b:4.40e-05 # Valid:4.38e-05, RL2:1.18e-02
Stage 2 Iter   410 Time:7.6e+00 # Loss:1.27e-05, Loss_r:1.27e-05, Loss_b:4.40e-05 # Valid:4.73e-05, RL2:1.07e-02
Stage 2 Iter   420 Time:7.7e+00 # Loss:1.53e-05, Loss_r:1.53e-05, Loss_b:4.40e-05 # Valid:4.45e-05, RL2:1.16e-02
Stage 2 Iter   430 Time:7.7e+00 # Loss:1.75e-05, Loss_r:1.75e-05, Loss_b:4.40e-05 # Valid:4.59e-05, RL2:1.10e-02
Stage 2 Iter   440 Time:7.8e+00 # Loss:1.49e-05, Loss_r:1.49e-05, Loss_b:4.40e-05 # Valid:4.47e-05, RL2:1.19e-02
Stage 2 Iter   450 Time:7.9e+00 # Loss:1.61e-05, Loss_r:1.61e-05, Loss_b:4.40e-05 # Valid:4.80e-05, RL2:1.11e-02
Stage 2 Iter   460 Time:7.9e+00 # Loss:1.73e-05, Loss_r:1.73e-05, Loss_b:4.40e-05 # Valid:4.57e-05, RL2:1.15e-02
Stage 2 Iter   470 Time:8.0e+00 # Loss:1.84e-05, Loss_r:1.84e-05, Loss_b:4.40e-05 # Valid:4.26e-05, RL2:1.20e-02
Stage 2 Iter   480 Time:8.0e+00 # Loss:1.58e-05, Loss_r:1.58e-05, Loss_b:4.40e-05 # Valid:4.30e-05, RL2:1.23e-02
Stage 2 Iter   490 Time:8.1e+00 # Loss:1.52e-05, Loss_r:1.52e-05, Loss_b:4.40e-05 # Valid:4.52e-05, RL2:1.15e-02
Stage 2 Iter   500 Time:8.1e+00 # Loss:1.68e-05, Loss_r:1.68e-05, Loss_b:4.40e-05 # Valid:4.91e-05, RL2:1.16e-02
Stage 2 Iter   510 Time:8.2e+00 # Loss:1.83e-05, Loss_r:1.83e-05, Loss_b:4.40e-05 # Valid:4.63e-05, RL2:1.20e-02
Stage 2 Iter   520 Time:8.2e+00 # Loss:1.24e-05, Loss_r:1.24e-05, Loss_b:4.40e-05 # Valid:4.39e-05, RL2:1.17e-02
Stage 2 Iter   530 Time:8.3e+00 # Loss:1.49e-05, Loss_r:1.49e-05, Loss_b:4.40e-05 # Valid:4.51e-05, RL2:1.20e-02
Stage 2 Iter   540 Time:8.3e+00 # Loss:1.72e-05, Loss_r:1.72e-05, Loss_b:4.40e-05 # Valid:4.52e-05, RL2:1.19e-02
Stage 2 Iter   550 Time:8.4e+00 # Loss:1.44e-05, Loss_r:1.44e-05, Loss_b:4.40e-05 # Valid:4.59e-05, RL2:1.09e-02
Stage 2 Iter   560 Time:8.4e+00 # Loss:1.63e-05, Loss_r:1.63e-05, Loss_b:4.40e-05 # Valid:4.68e-05, RL2:1.14e-02
Stage 2 Iter   570 Time:8.5e+00 # Loss:1.41e-05, Loss_r:1.41e-05, Loss_b:4.40e-05 # Valid:4.60e-05, RL2:1.22e-02
Stage 2 Iter   580 Time:8.5e+00 # Loss:1.42e-05, Loss_r:1.42e-05, Loss_b:4.40e-05 # Valid:4.59e-05, RL2:1.21e-02
Stage 2 Iter   590 Time:8.6e+00 # Loss:1.70e-05, Loss_r:1.70e-05, Loss_b:4.40e-05 # Valid:4.50e-05, RL2:1.16e-02
Stage 2 Iter   600 Time:8.6e+00 # Loss:1.63e-05, Loss_r:1.63e-05, Loss_b:4.40e-05 # Valid:4.74e-05, RL2:1.19e-02
Stage 2 Iter   610 Time:8.7e+00 # Loss:1.54e-05, Loss_r:1.54e-05, Loss_b:4.40e-05 # Valid:4.51e-05, RL2:1.17e-02
Stage 2 Iter   620 Time:8.7e+00 # Loss:1.36e-05, Loss_r:1.36e-05, Loss_b:4.40e-05 # Valid:4.95e-05, RL2:1.14e-02
Stage 2 Iter   630 Time:8.8e+00 # Loss:1.41e-05, Loss_r:1.41e-05, Loss_b:4.40e-05 # Valid:4.77e-05, RL2:1.15e-02
